CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,Notes_list,Notes_list_string
B,+,1;3;#5,"B,D#,F##","['B', 'D#', 'F##']","['B', 'D#', 'F##']"
B,maj,1;3;5,"B,D#,F#","['B', 'D#', 'F#']","['B', 'D#', 'F#']"
B,sus2,1;2;5,"B,C#,F#","['B', 'C#', 'F#']","['B', 'C#', 'F#']"
B,add2,1;3;5;9,"B,D#,F#,C#","['B', 'D#', 'F#', 'C#']","['B', 'D#', 'F#', 'C#']"
B,m7b5,1;b3;b5;b7,"B,D,F,A","['B', 'D', 'F', 'A']","['B', 'D', 'F', 'A']"
B,m,1;b3;5,"B,D,F#","['B', 'D', 'F#']","['B', 'D', 'F#']"
B,m7,1;b3;5;b7,"B,D,F#,A","['B', 'D', 'F#', 'A']","['B', 'D', 'F#', 'A']"
B,mM7,1;b3;5;7,"B,D,F#,A#","['B', 'D', 'F#', 'A#']","['B', 'D', 'F#', 'A#']"
B,dim,1;b3;b5,"B,D,F","['B', 'D', 'F']","['B', 'D', 'F']"
B,6,1;3;5;6,"B,D#,F#,G#","['B', 'D#', 'F#', 'G#']","['B', 'D#', 'F#', 'G#']"
B,7sus4,1;4;5;b7,"B,E,F#,A","['B', 'E', 'F#', 'A']","['B', 'E', 'F#', 'A']"
B,maj7,1;3;5;7,"B,D#,F#,A#","['B', 'D#', 'F#', 'A#']","['B', 'D#', 'F#', 'A#']"
B,5,1;5,"B,F#","['B', 'F#']","['B', 'F#']"
B,m6,1;b3;5;6,"B,D,F#,G#","['B', 'D', 'F#', 'G#']","['B', 'D', 'F#', 'G#']"
B,sus4,1;4;5,"B,E,F#","['B', 'E', 'F#']","['B', 'E', 'F#']"
C,7,1;3;5;b7,"C,E,G,Bb","['C', 'E', 'G', 'Bb']","['C', 'E', 'G', 'Bb']"
C,dim7,1;b3;b5;bb7,"C,Eb,Gb,Bbb","['C', 'Eb', 'Gb', 'Bbb']","['C', 'Eb', 'Gb', 'Bbb']"
C,+,1;3;#5,"C,E,G#","['C', 'E', 'G#']","['C', 'E', 'G#']"
C,maj,1;3;5,"C,E,G","['C', 'E', 'G']","['C', 'E', 'G']"
C,sus2,1;2;5,"C,D,G","['C', 'D', 'G']","['C', 'D', 'G']"
C,add2,1;3;5;9,"C,E,G,D","['C', 'E', 'G', 'D']","['C', 'E', 'G', 'D']"
C,m7b5,1;b3;b5;b7,"C,Eb,Gb,Bb","['C', 'Eb', 'Gb', 'Bb']","['C', 'Eb', 'Gb', 'Bb']"
C,m,1;b3;5,"C,Eb,G","['C', 'Eb', 'G']","['C', 'Eb', 'G']"
C,m7,1;b3;5;b7,"C,Eb,G,Bb","['C', 'Eb', 'G', 'Bb']","['C', 'Eb', 'G', 'Bb']"
C,mM7,1;b3;5;7,"C,Eb,G,B","['C', 'Eb', 'G', 'B']","['C', 'Eb', 'G', 'B']"
C,dim,1;b3;b5,"C,Eb,Gb","['C', 'Eb', 'Gb']","['C', 'Eb', 'Gb']"
C,6,1;3;5;6,"C,E,G,A","['C', 'E', 'G', 'A']","['C', 'E', 'G', 'A']"
C,7sus4,1;4;5;b7,"C,F,G,Bb","['C', 'F', 'G', 'Bb']","['C', 'F', 'G', 'Bb']"
C,maj7,1;3;5;7,"C,E,G,B","['C', 'E', 'G', 'B']","['C', 'E', 'G', 'B']"
C,5,1;5,"C,G","['C', 'G']","['C', 'G']"
C,m6,1;b3;5;6,"C,Eb,G,A","['C', 'Eb', 'G', 'A']","['C', 'Eb', 'G', 'A']"
C,sus4,1;4;5,"C,F,G","['C', 'F', 'G']","['C', 'F', 'G']"
D,7,1;3;5;b7,"D,F#,A,C","['D', 'F#', 'A', 'C']","['D', 'F#', 'A', 'C']"
D,dim7,1;b3;b5;bb7,"D,F,Ab,Cb","['D', 'F', 'Ab', 'Cb']","['D', 'F', 'Ab', 'Cb']"
D,+,1;3;#5,"D,F#,A#","['D', 'F#', 'A#']","['D', 'F#', 'A#']"
D,maj,1;3;5,"D,F#,A","['D', 'F#', 'A']","['D', 'F#', 'A']"
D,sus2,1;2;5,"D,E,A","['D', 'E', 'A']","['D', 'E', 'A']"
D,add2,1;3;5;9,"D,F#,A,E","['D', 'F#', 'A', 'E']","['D', 'F#', 'A', 'E']"
D,m7b5,1;b3;b5;b7,"D,F,Ab,C","['D', 'F', 'Ab', 'C']","['D', 'F', 'Ab', 'C']"
D,m,1;b3;5,"D,F,A","['D', 'F', 'A']","['D', 'F', 'A']"
D,m7,1;b3;5;b7,"D,F,A,C","['D', 'F', 'A', 'C']","['D', 'F', 'A', 'C']"
D,mM7,1;b3;5;7,"D,F,A,C#","['D', 'F', 'A', 'C#']","['D', 'F', 'A', 'C#']"
D,dim,1;b3;b5,"D,F,Ab","['D', 'F', 'Ab']","['D', 'F', 'Ab']"
D,6,1;3;5;6,"D,F#,A,B","['D', 'F#', 'A', 'B']","['D', 'F#', 'A', 'B']"
D,7sus4,1;4;5;b7,"D,G,A,C","['D', 'G', 'A', 'C']","['D', 'G', 'A', 'C']"
D,maj7,1;3;5;7,"D,F#,A,C#","['D', 'F#', 'A', 'C#']","['D', 'F#', 'A', 'C#']"
D,5,1;5,"D,A","['D', 'A']","['D', 'A']"
D,m6,1;b3;5;6,"D,F,A,B","['D', 'F', 'A', 'B']","['D', 'F', 'A', 'B']"
D,sus4,1;4;5,"D,G,A","['D', 'G', 'A']","['D', 'G', 'A']"
E,7,1;3;5;b7,"E,G#,B,D","['E', 'G#', 'B', 'D']","['E', 'G#', 'B', 'D']"
E,dim7,1;b3;b5;bb7,"E,G,Bb,Db","['E', 'G', 'Bb', 'Db']","['E', 'G', 'Bb', 'Db']"
E,+,1;3;#5,"E,G#,B#","['E', 'G#', 'B#']","['E', 'G#', 'B#']"
E,maj,1;3;5,"E,G#,B","['E', 'G#', 'B']","['E', 'G#', 'B']"
E,sus2,1;2;5,"E,F#,B","['E', 'F#', 'B']","['E', 'F#', 'B']"
E,add2,1;3;5;9,"E,G#,B,F#","['E', 'G#', 'B', 'F#']","['E', 'G#', 'B', 'F#']"
E,m7b5,1;b3;b5;b7,"E,G,Bb,D","['E', 'G', 'Bb', 'D']","['E', 'G', 'Bb', 'D']"
E,m,1;b3;5,"E,G,B","['E', 'G', 'B']","['E', 'G', 'B']"
E,m7,1;b3;5;b7,"E,G,B,D","['E', 'G', 'B', 'D']","['E', 'G', 'B', 'D']"
E,mM7,1;b3;5;7,"E,G,B,D#","['E', 'G', 'B', 'D#']","['E', 'G', 'B', 'D#']"
E,dim,1;b3;b5,"E,G,Bb","['E', 'G', 'Bb']","['E', 'G', 'Bb']"
E,6,1;3;5;6,"E,G#,B,C#","['E', 'G#', 'B', 'C#']","['E', 'G#', 'B', 'C#']"
E,7sus4,1;4;5;b7,"E,A,B,D","['E', 'A', 'B', 'D']","['E', 'A', 'B', 'D']"
E,maj7,1;3;5;7,"E,G#,B,D#","['E', 'G#', 'B', 'D#']","['E', 'G#', 'B', 'D#']"
E,5,1;5,"E,B","['E', 'B']","['E', 'B']"
E,m6,1;b3;5;6,"E,G,B,C#","['E', 'G', 'B', 'C#']","['E', 'G', 'B', 'C#']"
E,sus4,1;4;5,"E,A,B","['E', 'A', 'B']","['E', 'A', 'B']"
F,7,1;3;5;b7,"F,A,C,Eb","['F', 'A', 'C', 'Eb']","['F', 'A', 'C', 'Eb']"
F,dim7,1;b3;b5;bb7,"F,Ab,Cb,Ebb","['F', 'Ab', 'Cb', 'Ebb']","['F', 'Ab', 'Cb', 'Ebb']"
F,+,1;3;#5,"F,A,C#","['F', 'A', 'C#']","['F', 'A', 'C#']"
F,maj,1;3;5,"F,A,C","['F', 'A', 'C']","['F', 'A', 'C']"
F,sus2,1;2;5,"F,G,C","['F', 'G', 'C']","['F', 'G', 'C']"
F,add2,1;3;5;9,"F,A,C,G","['F', 'A', 'C', 'G']","['F', 'A', 'C', 'G']"
F,m7b5,1;b3;b5;b7,"F,Ab,Cb,Eb","['F', 'Ab', 'Cb', 'Eb']","['F', 'Ab', 'Cb', 'Eb']"
F,m,1;b3;5,"F,Ab,C","['F', 'Ab', 'C']","['F', 'Ab', 'C']"
F,m7,1;b3;5;b7,"F,Ab,C,Eb","['F', 'Ab', 'C', 'Eb']","['F', 'Ab', 'C', 'Eb']"
F,mM7,1;b3;5;7,"F,Ab,C,E","['F', 'Ab', 'C', 'E']","['F', 'Ab', 'C', 'E']"
F,dim,1;b3;b5,"F,Ab,Cb","['F', 'Ab', 'Cb']","['F', 'Ab', 'Cb']"
F,6,1;3;5;6,"F,A,C,D","['F', 'A', 'C', 'D']","['F', 'A', 'C', 'D']"
F,7sus4,1;4;5;b7,"F,Bb,C,Eb","['F', 'Bb', 'C', 'Eb']","['F', 'Bb', 'C', 'Eb']"
F,maj7,1;3;5;7,"F,A,C,E","['F', 'A', 'C', 'E']","['F', 'A', 'C', 'E']"
F,5,1;5,"F,C","['F', 'C']","['F', 'C']"
F,m6,1;b3;5;6,"F,Ab,C,D","['F', 'Ab', 'C', 'D']","['F', 'Ab', 'C', 'D']"
F,sus4,1;4;5,"F,Bb,C","['F', 'Bb', 'C']","['F', 'Bb', 'C']"
G,7,1;3;5;b7,"G,B,D,F","['G', 'B', 'D', 'F']","['G', 'B', 'D', 'F']"
G,dim7,1;b3;b5;bb7,"G,Bb,Db,Fb","['G', 'Bb', 'Db', 'Fb']","['G', 'Bb', 'Db', 'Fb']"
G,+,1;3;#5,"G,B,D#","['G', 'B', 'D#']","['G', 'B', 'D#']"
G,maj,1;3;5,"G,B,D","['G', 'B', 'D']","['G', 'B', 'D']"
G,sus2,1;2;5,"G,A,D","['G', 'A', 'D']","['G', 'A', 'D']"
G,add2,1;3;5;9,"G,B,D,A","['G', 'B', 'D', 'A']","['G', 'B', 'D', 'A']"
G,m7b5,1;b3;b5;b7,"G,Bb,Db,F","['G', 'Bb', 'Db', 'F']","['G', 'Bb', 'Db', 'F']"
G,m,1;b3;5,"G,Bb,D","['G', 'Bb', 'D']","['G', 'Bb', 'D']"
G,m7,1;b3;5;b7,"G,Bb,D,F","['G', 'Bb', 'D', 'F']","['G', 'Bb', 'D', 'F']"
G,mM7,1;b3;5;7,"G,Bb,D,F#","['G', 'Bb', 'D', 'F#']","['G', 'Bb', 'D', 'F#']"
G,dim,1;b3;b5,"G,Bb,Db","['G', 'Bb', 'Db']","['G', 'Bb', 'Db']"
G,6,1;3;5;6,"G,B,D,E","['G', 'B', 'D', 'E']","['G', 'B', 'D', 'E']"
G,7sus4,1;4;5;b7,"G,C,D,F","['G', 'C', 'D', 'F']","['G', 'C', 'D', 'F']"
G,maj7,1;3;5;7,"G,B,D,F#","['G', 'B', 'D', 'F#']","['G', 'B', 'D', 'F#']"
G,5,1;5,"G,D","['G', 'D']","['G', 'D']"
G,m6,1;b3;5;6,"G,Bb,D,E","['G', 'Bb', 'D', 'E']","['G', 'Bb', 'D', 'E']"
G,sus4,1;4;5,"G,C,D","['G', 'C', 'D']","['G', 'C', 'D']"
